Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
LUR20-Jul15,LUR20 timepoint 6,ERS12471500,1,1,LUR20-07_2015,LUR20-Jul15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-07-15,Su,2015
LUR20-Aug15,LUR20 timepoint 7,ERS12471501,1,1,LUR20-08_2015,LUR20-Aug15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-08-15,Su,2015
LUR20-Sep15,LUR20 timepoint 8,ERS12471502,1,1,LUR20-09_2015,LUR20-Sep15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-09-18,Su,2015
LUR20-Oct15,LUR20 timepoint 9,ERS12471503,1,1,LUR20-10_2015,LUR20-Oct15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-10-21,Au,2015
LUR20-Nov15,LUR20 timepoint 10,ERS12471504,1,1,LUR20-11_2015,LUR20-Nov15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-11-13,Au,2015
LUR20-Jan16,LUR20 timepoint 11,ERS12471505,1,1,LUR20-01_2016,LUR20-Jan16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-01-22,Wi,2016
LUR20-Feb16,LUR20 timepoint 12,ERS12471506,1,1,LUR20-02_2016,LUR20-Feb16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-02-26,Wi,2016
LUR20-Mar16,LUR20 timepoint 13,ERS12471507,1,1,LUR20-03_2016,LUR20-Mar16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-03-15,Sp,2016
LUR20-Abr16,LUR20 timepoint 14,ERS12471508,1,1,LUR20-04_2016,LUR20-Abr16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-04-15,Sp,2016
LUR20-May16,LUR20 timepoint 15,ERS12471509,1,1,LUR20-05_2016,LUR20-May16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-05-03,Sp,2016
LUR20-Jun16,LUR20 timepoint 16,ERS12471510,1,1,LUR20-06_2016,LUR20-Jun16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-06-15,Su,2016
LUR20-Jul16,LUR20 timepoint 17,ERS12471511,1,1,LUR20-07_2016,LUR20-Jul16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-07-15,Su,2016
LUR20-Aug16,LUR20 timepoint 18,ERS12471512,1,1,LUR20-08_2016,LUR20-Aug16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-08-30,Su,2016
LUR20-Sep16,LUR20 timepoint 19,ERS12471513,1,1,LUR20-09_2016,LUR20-Sep16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-09-26,Su,2016
LUR20-Nov16,LUR20 timepoint 21,ERS12471514,1,1,LUR20-11_2016,LUR20-Nov16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-11-18,Au,2016
LUR20-Dec16,LUR20 timepoint 22,ERS12471515,1,1,LUR20-12_2016,LUR20-Dec16,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2016-12-15,Wi,2016
LUR20-Jan17,LUR20 timepoint 23,ERS12471516,1,1,LUR20-01_2017,LUR20-Jan17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-01-15,Wi,2017
LUR20-Feb17,LUR20 timepoint 24,ERS12471517,1,1,LUR20-02_2017,LUR20-Feb17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-02-17,Wi,2017
LUR20-Mar17,LUR20 timepoint 25,ERS12471518,1,1,LUR20-03_2017,LUR20-Mar17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-03-15,Sp,2017
LUR20-Apr17,LUR20 timepoint 26,ERS12471519,1,1,LUR20-04_2017,LUR20-Apr17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-04-15,Sp,2017
LUR20_May17,LUR20 timepoint 27,ERS12471520,1,1,LUR20_May17,LUR20_May17,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,LUR20,Coastal,10 Urumea,NA,2017-05-05,Sp,2017
LUR20-Jun17,LUR20 timepoint 28,ERS12471521,1,1,LUR20-06_2017,LUR20-Jun17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-06-15,Su,2017
LUR20-Jul17,LUR20 timepoint 29,ERS12471522,1,1,LUR20-07_2017,LUR20-Jul17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-07-15,Su,2017
LUR20-Aug17,LUR20 timepoint 30,ERS12471523,1,1,LUR20-08_2017,LUR20-Aug17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-08-21,Su,2017
LUR20-Sep17,LUR20 timepoint 31,ERS12471524,1,1,LUR20-09_2017,LUR20-Sep17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-09-15,Su,2017
LUR20-Oct17,LUR20 timepoint 32,ERS12471525,1,1,LUR20-10_2017,LUR20-Oct17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-10-15,Au,2017
LUR20-Nov17,LUR20 timepoint 33,ERS12471526,1,1,LUR20-11_2017,LUR20-Nov17,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2017-11-13,Au,2017
LUR20-Jan18,LUR20 timepoint 35,ERS12471527,1,1,LUR20-01_2018,LUR20-Jan18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-01-15,Wi,2018
LUR20-Feb18,LUR20 timepoint 36,ERS12471528,1,1,LUR20-02_2018,LUR20-Feb18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-02-02,Wi,2018
LUR20-Mar18,LUR20 timepoint 37,ERS12471529,1,1,LUR20-03_2018,LUR20-Mar18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-03-15,Sp,2018
LUR20-Apr18,LUR20 timepoint 38,ERS12471530,1,1,LUR20-04_2018,LUR20-Apr18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-04-15,Sp,2018
LUR20-May18,LUR20 timepoint 39,ERS12471531,1,1,LUR20-05_2018,LUR20-May18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-05-18,Sp,2018
LUR20-Jun18,LUR20 timepoint 40,ERS12471532,1,1,LUR20-06_2018,LUR20-Jun18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-06-15,Su,2018
LUR20-Jul18,LUR20 timepoint 41,ERS12471533,1,1,LUR20-07_2018,LUR20-Jul18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-07-15,Su,2018
LUR20-Aug18,LUR20 timepoint 42,ERS12471534,1,1,LUR20-08_2018,LUR20-Aug18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-08-27,Su,2018
LUR20-Sep18,LUR20 timepoint 43,ERS12471535,0,1,LUR20-09_2018,LUR20-Sep18,W,Filter02uM,W,PowerWater,1,None,NA,Taq,NA,NA,NA,202103,NA,LUR20,Coastal,10 Urumea,NA,2018-09-15,Su,2018
LUR20-Oct18,LUR20 timepoint 44,ERS12471536,1,1,LUR20-10_2018,LUR20-Oct18,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2018-10-15,Au,2018
